dhtTemp,dhthum,LDR value,rainValue,pressure,altitude,aqi value,rainStatusNum,AQI_Category
31.96,73.83,685,758,1010.98138,8.49466,155,1,Good
31.94,76.55,686,753,1010.99731,8.36181,500,1,Good
31.91,64.99,675,762,1011.00537,8.29438,161,1,Good
31.44,74.36,736,696,1011.04669,7.94967,453,1,Good
31.36,77.63,772,693,1011.03705,8.03019,164,1,Good
31.35,81.54,879,706,1011.04346,7.97685,172,1,Good
31.33,78.07,844,716,1011.0647,7.79972,265,1,Good
31.38,78.02,867,722,1011.06116,7.82891,238,1,Good
31.37,75.25,871,726,1011.04846,7.93508,236,1,Good
31.45,64.41,873,703,1011.04749,7.94313,245,1,Good
31.46,53.54,870,727,1011.03534,8.04428,184,1,Good
31.47,61.87,808,764,1011.04919,7.92904,206,1,Good
31.48,62.28,778,757,1011.04108,7.99647,188,1,Good
31.5,64.51,676,770,1011.03796,8.02264,190,1,Good
31.51,67.49,830,729,1011.01221,8.23751,187,1,Good
31.52,70.72,802,735,1011.0022,8.32105,439,1,Good
31.54,64.16,852,715,1010.98718,8.44635,464,1,Good
31.56,72.16,832,730,1010.9881,8.4388,456,1,Good
31.57,74.93,856,759,1010.98132,8.49517,320,1,Good
31.59,69.8,819,763,1010.99188,8.4071,305,1,Good
31.61,73.2,783,765,1010.96765,8.6094,300,1,Good
31.63,74.73,781,776,1010.97339,8.56109,317,1,Good
31.64,78.37,817,777,1010.97266,8.56763,315,1,Good
31.65,74.08,881,709,1010.99408,8.38848,310,1,Good
31.66,72.45,912,769,1011.01233,8.23651,323,1,Good
31.67,69.72,876,728,1010.99469,8.38345,282,1,Good
31.68,71.36,785,746,1011.01141,8.24406,485,1,Good
31.69,73.51,784,691,1011.05609,7.87117,301,1,Good
31.78,72.96,771,720,1011.05658,7.86715,292,1,Good
31.8,72.96,854,761,1011.07422,7.72021,443,1,Good
31.83,71.85,880,751,1011.09595,7.53906,457,1,Good
31.85,66.67,877,692,1011.11047,7.4178,447,1,Good
30.56,69.16,895,754,1011.12811,7.27036,481,1,Good
30.58,71.89,885,755,1011.13141,7.24319,150,1,Good
30.63,72.82,886,41,1011.15161,7.07463,442,0,Good
30.65,72.23,888,165,1011.16022,7.00268,239,0,Good
30.86,65.32,893,31,1011.15735,7.02683,450,0,Good
31.12,69.17,890,32,1011.14648,7.1174,128,0,Good
31.17,72.46,896,147,1011.16248,6.98406,462,0,Good
31.22,69.29,908,34,1011.15405,7.054,311,0,Good
31.25,71.66,892,107,1011.17999,6.83764,298,0,Good
31.27,61.26,883,804,1011.16327,6.97752,324,1,Good
31.29,73.04,618,448,1011.15002,7.08771,302,0,Good
31.4,69.24,678,272,1011.15747,7.02582,318,0,Good
31.41,72.54,596,745,1011.15283,7.06457,304,1,Good
31.53,69.45,522,788,1011.14771,7.10734,153,1,Good
29.13,71.72,475,736,1011.15851,7.01677,183,1,Good
29.09,72.35,900,787,1011.16528,6.96041,296,1,Good
29.11,63.09,889,797,1011.17236,6.90154,479,1,Good
29.14,67.03,878,796,1011.16034,7.00167,297,1,Good
29.16,63.15,684,760,1011.1283,7.26886,293,1,Good
29.17,70.62,693,798,1011.12781,7.27288,313,1,Good
29.15,67.4,663,721,1011.14917,7.09476,295,1,Good
29.12,67.49,694,766,1011.15796,7.0218,328,1,Good
29.18,65.4,667,794,1011.15845,7.01727,309,1,Good
29.2,68.86,951,747,1011.1543,7.05199,341,1,Good
29.22,69.67,701,790,1011.18188,6.82204,333,1,Good
29.21,71.59,664,800,1011.53632,3.86593,141,1,Good
29.23,78.76,627,836,1011.52112,3.99269,130,1,Good
29.25,77.43,580,840,1011.54407,3.80155,321,1,Good
29.27,80.7,591,835,1011.54437,3.79903,316,1,Good
29.29,76.28,512,865,1011.54541,3.78998,319,1,Good
29.39,75.31,569,870,1011.53455,3.88052,322,1,Good
26.46,72.78,552,849,1011.52533,3.95748,237,1,Good
26.49,71.61,601,859,1011.52814,3.93434,216,1,Good
26.5,73.24,546,784,1011.54718,3.77539,249,1,Good
26.53,72.48,564,802,1011.53485,3.878,278,1,Good
26.55,69.03,541,842,1011.55078,3.74521,266,1,Good
26.56,71.94,536,838,1011.54596,3.78545,271,1,Good
26.58,80.33,555,834,1011.52753,3.93937,227,1,Good
26.61,76.21,480,828,1011.51257,4.06412,220,1,Good
26.63,84.39,517,858,1011.51154,4.07267,224,1,Good
26.65,81.05,550,829,1011.50531,4.12448,105,1,Good
26.66,73.57,777,846,1011.50232,4.14963,146,1,Good
26.67,77.13,941,837,1011.5047,4.12951,143,1,Good
26.68,76.39,795,824,1011.47986,4.33676,134,1,Good
26.69,76.36,804,823,1011.46857,4.43083,145,1,Good
26.7,72.6,809,826,1011.44983,4.58727,196,1,Good
32.93,76.43,710,845,1011.44366,4.63859,198,1,Good
32.89,80.19,703,814,1011.4458,4.62098,199,1,Good
32.91,88.98,976,744,1011.44135,4.6582,166,1,Good
32.83,78.43,428,712,1011.44116,4.65971,169,1,Good
32.95,80.69,355,786,1011.44708,4.60991,138,1,Good
32.61,88.73,364,732,1011.43073,4.74674,185,1,Good
32.88,86.5,352,844,1011.42487,4.79554,180,1,Good
32.9,84.12,974,848,1011.42877,4.76284,182,1,Good
