dhtTemp,dhthum,LDR value,pressure,altitude,rainValue,rainStatusNum
33.24,90.13,384,1011.26984,6.08847,738,1
33.11,86.47,388,1011.22321,6.47739,713,1
33.1,82.67,389,1011.20673,6.61475,739,1
33.05,76.43,382,1011.20953,6.5916,792,1
33.14,73.4,884,1011.22314,6.47789,793,1
33.02,75.6,933,1011.22778,6.43915,675,1
33.07,78.29,689,1011.22736,6.44267,680,1
33.19,88.63,653,1011.20667,6.61525,674,1
33.16,92.81,624,1011.16174,6.9901,725,1
33.13,89.61,614,1011.16296,6.98004,705,1
33.17,94.48,649,1011.1756,6.87437,685,1
33.33,94.91,644,1011.15326,7.06105,686,1
33.37,96.01,636,1011.14825,7.10231,684,1
33.44,89.13,662,1011.12585,7.28949,676,1
33.49,86.69,578,1011.1189,7.34735,688,1
33.52,87.31,992,1011.11438,7.38509,723,1
33.57,87.24,629,1011.12061,7.33326,768,1
33.58,80.64,615,1011.12231,7.31917,734,1
33.61,83.12,598,1011.11139,7.41025,724,1
33.62,83.38,907,1011.13892,7.1803,742,1
33.64,81.21,913,1011.14081,7.1647,778,1
33.63,87.28,982,1011.11768,7.35741,873,1
33.67,90.29,307,1011.117,7.36345,775,1
33.68,85.55,904,1011.09985,7.50636,673,1
33.7,88.47,488,1011.10626,7.45302,808,1
33.69,88.42,917,1011.13049,7.25074,864,1
33.71,88.31,261,1011.12518,7.29502,854,1
34.2,84.07,944,1011.12128,7.32773,862,1
34.37,86.02,931,1011.11389,7.38911,857,1
34.23,83.45,898,1011.11096,7.41377,783,1
34.17,84.04,637,1011.1214,7.32672,782,1
34.09,92.66,634,1011.12408,7.30408,780,1
33.97,91.48,724,1011.10803,7.43792,819,1
33.96,90.63,317,1011.12439,7.30156,881,1
33.94,81.16,619,1011.11938,7.34333,860,1
33.95,80.68,665,1011.10278,7.4817,876,1
33.99,83.7,652,1011.09186,7.57278,894,1
34,82.93,642,1011.09875,7.51541,884,1
34.02,85.63,628,1011.11658,7.36697,893,1
33.98,85.43,682,1011.11523,7.37805,909,1
33.93,81.56,673,1011.1156,7.37503,888,1
33.89,83.24,625,1011.11993,7.3388,908,1
33.85,88.55,313,1011.10577,7.45704,781,1
33.87,79.54,374,1011.10016,7.50384,614,1
33.9,78.24,602,1011.10565,7.45805,598,1
33.92,78.84,620,1011.09839,7.51843,525,1
33.91,85.61,980,1011.09534,7.5441,470,0
30.66,86.53,607,1011.08221,7.65329,890,1
30.64,92.01,600,1011.06268,7.81632,889,1
30.61,83.89,610,1011.07751,7.69254,679,1
30.55,88.1,640,1011.07062,7.75041,690,1
30.54,92.24,604,1011.06158,7.82538,677,1
30.57,90.9,670,1013.41296,-11.77151,666,1
30.52,79.18,648,1013.44122,-12.00657,670,1
30.49,77.46,622,1013.43298,-11.93826,866,1
30.47,84.14,633,1013.38562,-11.54449,662,1
30.5,74.42,616,1013.39471,-11.61983,626,1
30.51,77.45,613,1013.28345,-10.69361,580,1
30.41,81.01,645,1013.26154,-10.51077,592,1
30.44,77.82,646,1013.26086,-10.50475,514,1
30.46,76.76,687,1013.29065,-10.75289,567,1
30.48,77.44,790,1013.29889,-10.82221,554,1
30.45,82.76,681,1013.27374,-10.61224,600,1
30.53,82.52,289,1013.25665,-10.47059,809,1
30.43,79.97,267,1013.22455,-10.20235,547,1
30.42,76.09,654,1013.18341,-9.85975,543,1
30.4,72.17,690,1013.17084,-9.75526,535,1
30.6,83.05,661,1013.15997,-9.66484,556,1
30.62,85.24,657,1013.07281,-8.9394,480,0
30.59,90.4,655,1013.04248,-8.6862,518,1
30.68,87.38,658,1013.00073,-8.33852,552,1
31.86,82.48,666,1012.97888,-8.15665,714,1
31.88,80.4,973,1012.97144,-8.09434,737,1
31.89,74.02,484,1012.95422,-7.95165,795,1
29.37,72.69,442,1012.90967,-7.57984,799,1
29.38,74.53,542,1012.88452,-7.37081,711,1
34.38,72.27,606,1012.85883,-7.15676,733,1
34.52,82.56,608,1012.87604,-7.30047,697,1
34.91,87.46,574,1012.87183,-7.2653,979,1
34.95,90.87,567,1012.86139,-7.17786,704,1
