pressure,altitude,dhthum,LDR value,rainValue,dhtTemp
1007.68103,36.19782,74.57,438,923,27.5
1007.66516,36.02122,67.85,467,925,27.3
1007.68628,36.08126,66.91,519,928,26.9
1007.67908,36.14585,63.44,520,929,25.5
1007.67139,36.37291,66.46,537,930,25.9
1007.64423,36.50864,65.89,497,933,25.1
1007.62799,36.54699,71.15,540,935,25.6
1007.62341,36.53236,77.72,551,937,25.7
1007.62518,36.71957,68.46,425,938,20.5
1007.60278,33.50323,70.92,449,939,9.472222222
1007.98737,33.06135,72.79,413,946,9.355555556
1008.04016,32.89691,70.84,455,947,9.377777778
1008.05981,32.68405,72.1,422,950,8.288888889
1008.08533,32.6326,66.5,426,953,8.755555556
1008.09143,32.33752,56.97,418,954,9.222222222
1008.12671,32.50196,68.41,429,957,7.733333333
1008.10706,32.27801,77.69,451,958,8.772222222
1008.13385,32.32946,74.05,481,959,10.82222222
1008.12769,32.60032,74.77,450,961,13.77222222
1008.09534,32.29869,74.75,474,964,16.01666667
1008.13141,32.03439,78.2,436,965,17.14444444
1008.16296,32.10198,64.97,431,967,17.33333333
1008.15491,32.11863,72.73,471,969,18.87777778
1008.15289,31.86694,61.64,457,970,18.91111111
1008.18304,31.60266,63.12,458,971,15.38888889
1008.2146,31.14119,68.01,432,974,15.55
1008.26984,30.6641,80.59,446,977,14.25555556
1008.3269,30.57635,75.27,479,986,13.14444444
1008.3374,30.28285,73.19,433,989,11.55
1008.3725,29.85371,69.82,472,400,11.18333333
1008.42383,29.89355,73.61,463,401,10.11666667
1008.41907,29.5804,74.29,437,402,10.2
1008.45648,29.11902,77.41,483,403,10.42222222
1008.51172,28.75345,74.76,439,405,9.911111111
1008.55542,28.79228,74.44,490,406,7.155555556
1008.55078,28.34404,77.18,743,407,6.111111111
1008.60443,28.03245,74.74,707,408,6.788888889
1008.64166,28.02792,78.01,466,409,7.261111111
1008.64221,28.14589,72.18,202,410,7.8
1008.62811,28.20589,72.76,165,411,9.872222222
1008.62091,28.22808,83.51,241,412,12.22222222
1008.61829,28.04002,73.31,258,413,15.09444444
1008.64081,27.9291,72.94,231,414,17.35555556
1008.65405,27.69264,80.1,249,415,19.00555556
1008.68237,50.32745,72.4,515,416,20.04444444
